Vertex,b0:4e:26:ca:3b:33,b0:4e:26:ca:3b:34,b0:4e:26:ca:3c:f5,b0:4e:26:ca:3c:f6,b0:4e:26:ca:42:81,b0:4e:26:ca:42:82
1 to 8,-70,-72,-73,-74,-46,-48
9 10,-78,-70,-72,-68,-45,-45
6,-80,-86,-75,-60,-52,-47
7,-75,0,-71,-67,-38,-37
2,-85,0,-86,-85,-61,-69
9 10,0,-65,0,0,-80,-85
11,-69,-62,-60,-73,-65,-72
12,-62,-77,-60,-71,-77,-77
14,-74,-76,-58,-57,-58,-60
15,-80,-82,-38,-46,-68,-69
16,-84,-88,-43,-45,-78,-77
