vertex,A8:F7:D9:59:B7:81,A8:F7:D9:59:B7:A1,A8:F7:D9:5A:4A:21,A8:F7:D9:5A:4A:41,A8:F7:D9:5A:4A:A1,A8:F7:D9:5A:4F:01,A8:F7:D9:5A:4F:21,A8:F7:D9:5A:4F:61,A8:F7:D9:5A:4F:81,A8:F7:D9:5A:50:21,A8:F7:D9:5A:50:41,A8:F7:D9:5A:59:B1,A8:F7:D9:5A:59:D1,A8:F7:D9:5A:5B:91,A8:F7:D9:5A:5B:B1,A8:F7:D9:5A:5B:F2,A8:F7:D9:5A:5C:12,A8:F7:D9:5A:5E:C1,A8:F7:D9:5A:5E:E1,A8:F7:D9:5A:5E:F1,A8:F7:D9:5A:5F:11,A8:F7:D9:5A:61:51,A8:F7:D9:5A:69:11,A8:F7:D9:5A:69:31,A8:F7:D9:5A:6A:C1,A8:F7:D9:5A:6A:E1,A8:F7:D9:5A:6B:81,A8:F7:D9:5A:6B:A1,A8:F7:D9:5A:70:31,A8:F7:D9:5A:70:51,A8:F7:D9:C4:3D:B1,A8:F7:D9:C4:3D:D1,A8:F7:D9:C4:50:A1,A8:F7:D9:E6:C5:21,A8:F7:D9:E6:C5:41,A8:F7:D9:E6:CD:91,A8:F7:D9:E6:CD:B1,A8:F7:D9:E6:D0:F1,A8:F7:D9:E6:D1:11
lib,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-69,-100,-100,-100,-100,-100,-78,-100,-74,-69,-100,-100,-70,-65,-100,-100,-100,-82,-100,-100,-100,-100,-100
37,-100,-72,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-71,-69,-100,-100,-100,-100,-100,-80,-100,-69,-71,-100,-100,-63,-72,-100,-100,-100,-85,-100,-100,-100,-100,-100
35,-100,-76,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-80,-69,-100,-100,-100,-100,-100,-83,-68,-74,-71,-81,-100,-77,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100
36,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-67,-100,-100,-100,-100,-100,-83,-74,-73,-74,-81,-100,-79,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100
108,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-78,-100,-100,-100,-100,-100,-100,-100,-82,-76,-100,-100,-80,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100
34,-79,-75,-100,-100,-100,-100,-100,-82,-100,-100,-100,-83,-100,-100,-100,-72,-70,-100,-100,-100,-100,-100,-65,-68,-65,-63,-77,-64,-79,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100
33,-80,-69,-100,-100,-100,-100,-100,-80,-100,-100,-100,-83,-100,-100,-100,-75,-71,-100,-100,-100,-100,-100,-75,-71,-68,-68,-77,-100,-77,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100
32,-78,-70,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-78,-67,-100,-100,-100,-100,-100,-78,-71,-63,-62,-100,-100,-80,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100
27,-83,-75,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-80,-72,-100,-100,-100,-100,-100,-77,-73,-59,-58,-82,-71,-81,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100
28,-81,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-68,-76,-64,-58,-81,-100,-78,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100
29,-83,-75,-100,-100,-100,-100,-100,-83,-100,-100,-100,-84,-100,-100,-100,-79,-71,-100,-100,-100,-100,-100,-77,-68,-68,-57,-100,-100,-76,-78,-100,-100,-100,-80,-100,-100,-100,-100,-100
132,-84,-79,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-81,-71,-100,-100,-100,-100,-100,-78,-100,-62,-54,-100,-100,-83,-78,-100,-100,-100,-84,-70,-100,-100,-100,-100
131,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-78,-100,-67,-62,-100,-100,-86,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100
30,-100,-76,-100,-100,-100,-100,-100,-83,-100,-100,-100,-82,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-77,-100,-67,-62,-100,-100,-84,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100
31,-100,-100,-100,-100,-72,-100,-100,-85,-100,-100,-100,-80,-100,-100,-100,-81,-73,-100,-100,-100,-100,-100,-78,-73,-61,-53,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
up1,-100,-100,-100,-100,-72,-100,-100,-84,-100,-100,-100,-78,-100,-100,-100,-69,-67,-100,-100,-100,-100,-100,-74,-77,-59,-59,-100,-100,-75,-71,-100,-100,-100,-79,-100,-100,-100,-100,-100
down1,-82,-67,-100,-100,-100,-100,-100,-82,-76,-100,-100,-78,-100,-100,-100,-74,-72,-100,-100,-100,-100,-100,-65,-67,-52,-56,-100,-100,-79,-75,-100,-100,-100,-79,-100,-100,-100,-100,-100
26,-82,-72,-100,-100,-100,-100,-100,-81,-78,-100,-100,-82,-100,-100,-100,-83,-73,-100,-100,-100,-100,-100,-77,-74,-50,-43,-100,-100,-83,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100
109,-100,-100,-100,-100,-100,-100,-100,-84,-72,-100,-100,-82,-100,-100,-100,-83,-73,-100,-100,-100,-100,-100,-77,-75,-61,-55,-100,-100,-85,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100
25,-100,-100,-100,-100,-100,-100,-100,-85,-72,-100,-100,-81,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-77,-73,-55,-51,-100,-100,-78,-78,-100,-100,-100,-82,-76,-100,-100,-100,-100
111,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-85,-100,-100,-100,-83,-74,-100,-100,-100,-100,-100,-75,-75,-53,-47,-100,-100,-83,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100
