Vertex,a8:f7:d9:59:b7:81,a8:f7:d9:59:b7:a1,a8:f7:d9:59:c9:b1,a8:f7:d9:59:cc:e1,a8:f7:d9:59:cd:01,a8:f7:d9:59:cd:61,a8:f7:d9:5a:4a:21,a8:f7:d9:5a:4a:41,a8:f7:d9:5a:4a:81,a8:f7:d9:5a:4a:a1,a8:f7:d9:5a:4f:01,a8:f7:d9:5a:4f:21,a8:f7:d9:5a:4f:61,a8:f7:d9:5a:4f:81,a8:f7:d9:5a:50:21,a8:f7:d9:5a:50:41,a8:f7:d9:5a:59:51,a8:f7:d9:5a:59:71,a8:f7:d9:5a:59:b1,a8:f7:d9:5a:59:d1,a8:f7:d9:5a:5b:91,a8:f7:d9:5a:5b:b1,a8:f7:d9:5a:5b:f2,a8:f7:d9:5a:5c:12,a8:f7:d9:5a:5e:c1,a8:f7:d9:5a:5e:e1,a8:f7:d9:5a:5e:f1,a8:f7:d9:5a:5f:11,a8:f7:d9:5a:61:31,a8:f7:d9:5a:61:51,a8:f7:d9:5a:69:11,a8:f7:d9:5a:69:31,a8:f7:d9:5a:6a:c1,a8:f7:d9:5a:6a:e1,a8:f7:d9:5a:6b:81,a8:f7:d9:5a:6b:a1,a8:f7:d9:5a:70:31,a8:f7:d9:5a:70:51,a8:f7:d9:c4:3d:b1,a8:f7:d9:c4:3d:d1,a8:f7:d9:c4:50:a1,a8:f7:d9:c4:50:c1,a8:f7:d9:e6:c5:21,a8:f7:d9:e6:c5:41,a8:f7:d9:e6:c9:31,a8:f7:d9:e6:cd:91,a8:f7:d9:e6:cd:b1,a8:f7:d9:e6:d0:f1,a8:f7:d9:e6:d1:11
126,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-100,-100,-100,-100,-100,-76,-100,-100,-68,-72,-100,-76,-60,-56,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100
126,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-77,-70,-75,-80,-39,-48,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100
126,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-82,-81,-100,-100,-100,-100,-71,-73,-100,-100,-78,-71,-81,-72,-41,-48,-100,-87,-100,-100,-100,-100,-100,-100,-100,-81,-76,-100,-100
126,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-76,-100,-100,-100,-68,-81,-78,-41,-48,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100
126,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-77,-77,-100,-100,-78,-66,-100,-78,-45,-51,-100,-89,-100,-100,-100,-100,-100,-100,-100,-80,-78,-100,-100
126,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-84,-100,-100,-84,-100,-100,-100,-100,-100,-86,-83,-100,-100,-100,-100,-75,-78,-100,-100,-77,-70,-76,-72,-42,-51,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100
126,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-80,-89,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-74,-74,-100,-100,-100,-66,-78,-74,-48,-51,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100
126,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-73,-72,-100,-100,-76,-72,-79,-73,-100,-58,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100
126,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-84,-100,-100,-100,-86,-100,-100,-100,-100,-79,-85,-100,-100,-100,-100,-73,-69,-100,-100,-100,-68,-100,-73,-49,-48,-100,-83,-100,-100,-100,-100,-100,-100,-100,-81,-78,-100,-100
126,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-73,-74,-100,-100,-77,-70,-76,-73,-100,-60,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-89
127,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-84,-100,-100,-100,-85,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-70,-79,-100,-100,-72,-75,-82,-85,-50,-61,-100,-87,-100,-100,-100,-100,-100,-100,-100,-79,-78,-100,-100
127,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-84,-100,-100,-77,-87,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-84,-81,-100,-100,-100,-75,-100,-100,-50,-57,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100
127,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-86,-100,-100,-81,-84,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-80,-79,-100,-100,-100,-71,-100,-100,-59,-60,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100
127,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-88,-100,-100,-100,-84,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-75,-75,-100,-100,-100,-72,-100,-100,-60,-63,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-80,-100,-100
127,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-85,-100,-100,-77,-83,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-75,-100,-100,-100,-75,-100,-100,-53,-66,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100
127,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-84,-100,-100,-100,-82,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-76,-71,-100,-100,-100,-76,-100,-100,-59,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-79,-100,-100
127,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-75,-87,-100,-100,-100,-100,-80,-86,-100,-100,-100,-100,-77,-70,-100,-100,-100,-72,-100,-100,-56,-68,-100,-90,-100,-100,-100,-100,-100,-100,-100,-77,-82,-100,-100
127,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-87,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-75,-77,-100,-100,-100,-74,-100,-100,-60,-62,-100,-88,-100,-100,-100,-100,-100,-100,-100,-79,-76,-100,-100
127,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-85,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-76,-81,-100,-100,-100,-72,-100,-100,-60,-66,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100
127,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-82,-86,-100,-100,-77,-85,-100,-100,-100,-100,-84,-83,-100,-100,-100,-100,-76,-74,-100,-100,-80,-72,-100,-100,-100,-58,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100
6,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-86,-100,-100,-78,-84,-84,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-72,-100,-100,-56,-59,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100
6,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-83,-100,-100,-77,-81,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-77,-75,-100,-100,-100,-74,-100,-88,-100,-65,-100,-88,-100,-100,-100,-100,-100,-100,-100,-79,-81,-100,-100
6,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-82,-85,-100,-100,-100,-83,-100,-100,-100,-100,-76,-71,-100,-100,-100,-100,-100,-80,-100,-100,-79,-80,-100,-100,-55,-58,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100
6,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-83,-100,-100,-78,-89,-100,-100,-100,-100,-70,-78,-100,-100,-100,-100,-100,-82,-100,-100,-100,-73,-100,-100,-56,-63,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100
6,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-83,-100,-100,-100,-87,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-76,-100,-100,-100,-76,-100,-100,-100,-62,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100
6,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-68,-77,-100,-100,-100,-100,-100,-81,-100,-100,-100,-78,-100,-100,-100,-63,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100
6,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-86,-100,-100,-77,-88,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-77,-81,-100,-100,-100,-74,-100,-100,-60,-59,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100
6,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-83,-100,-100,-73,-81,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-79,-78,-100,-100,-79,-73,-100,-100,-55,-58,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100
6,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-80,-83,-100,-100,-100,-86,-85,-100,-100,-100,-79,-82,-100,-100,-100,-100,-79,-82,-100,-100,-100,-78,-100,-100,-54,-63,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-83,-100,-100
6,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-85,-100,-100,-77,-84,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-76,-78,-100,-100,-100,-74,-100,-100,-53,-65,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-78,-100,-100
7,-100,-100,-100,-100,-100,-100,-83,-88,-100,-100,-81,-84,-100,-100,-77,-100,-80,-100,-100,-100,-77,-79,-100,-100,-100,-100,-70,-76,-100,-100,-75,-61,-77,-75,-63,-63,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-86
7,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-85,-100,-100,-76,-86,-100,-100,-100,-100,-79,-75,-100,-100,-100,-100,-72,-77,-100,-100,-76,-63,-76,-74,-58,-62,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-87
7,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-89,-100,-100,-100,-100,-74,-75,-100,-100,-100,-100,-73,-77,-100,-100,-75,-63,-77,-73,-61,-66,-100,-83,-100,-100,-100,-100,-100,-100,-100,-81,-75,-100,-100
7,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-87,-100,-100,-82,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-74,-80,-100,-100,-76,-60,-100,-81,-60,-62,-100,-84,-100,-100,-100,-100,-100,-100,-100,-78,-75,-100,-89
7,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-85,-100,-100,-80,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-70,-79,-100,-100,-78,-63,-85,-80,-60,-60,-100,-82,-100,-100,-100,-100,-100,-100,-100,-80,-76,-100,-100
7,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-85,-100,-100,-80,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-77,-100,-100,-80,-61,-81,-75,-60,-67,-100,-86,-100,-100,-100,-100,-100,-100,-100,-81,-75,-100,-88
7,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-84,-100,-100,-100,-89,-82,-100,-100,-100,-100,-78,-100,-100,-100,-100,-73,-80,-100,-100,-100,-62,-100,-78,-60,-60,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-88
7,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-78,-78,-100,-100,-100,-100,-100,-79,-100,-100,-78,-65,-100,-76,-62,-63,-100,-86,-100,-100,-100,-100,-100,-100,-100,-78,-75,-100,-100
7,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-80,-78,-100,-100,-100,-100,-74,-78,-100,-100,-100,-67,-100,-77,-61,-64,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100
7,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-75,-81,-100,-100,-80,-60,-100,-77,-56,-65,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100
elevator,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-85,-100,-100,-80,-100,-100,-100,-100,-100,-78,-73,-100,-100,-100,-100,-71,-76,-100,-100,-100,-66,-100,-78,-100,-61,-100,-100,-100,-100,-100,-100,-100,-89,-100,-77,-75,-100,-84
elevator,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-72,-74,-100,-100,-100,-100,-65,-77,-100,-100,-78,-68,-100,-86,-55,-61,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-84,-89
elevator,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-85,-100,-100,-81,-100,-100,-100,-100,-100,-79,-74,-100,-100,-100,-100,-100,-77,-100,-100,-76,-73,-100,-86,-62,-61,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-85
elevator,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-77,-76,-100,-100,-100,-100,-69,-76,-100,-100,-100,-69,-100,-82,-100,-62,-100,-83,-100,-100,-100,-100,-100,-100,-100,-80,-76,-100,-85
elevator,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-85,-100,-100,-100,-100,-80,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-74,-100,-100,-100,-70,-100,-84,-63,-63,-100,-85,-100,-100,-100,-100,-100,-100,-100,-78,-80,-100,-84
elevator,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-77,-75,-100,-100,-100,-100,-70,-76,-100,-100,-76,-69,-100,-83,-58,-61,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-87
elevator,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-82,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-76,-100,-100,-74,-68,-100,-83,-61,-64,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-85
elevator,-100,-100,-100,-100,-100,-100,-85,-84,-100,-100,-81,-86,-100,-100,-100,-100,-100,-100,-100,-100,-75,-72,-100,-100,-100,-100,-100,-72,-100,-100,-75,-70,-100,-86,-58,-68,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-86
elevator,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-85,-100,-100,-79,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-70,-81,-100,-100,-74,-69,-100,-89,-100,-60,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-87
elevator,-100,-100,-100,-100,-100,-100,-80,-82,-100,-100,-100,-100,-100,-100,-81,-100,-76,-100,-100,-100,-75,-77,-100,-100,-100,-100,-100,-77,-100,-100,-73,-70,-100,-84,-62,-62,-100,-84,-100,-100,-100,-100,-100,-100,-100,-78,-76,-100,-83
8,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-79,-89,-100,-100,-100,-100,-76,-76,-100,-100,-100,-100,-100,-75,-100,-100,-73,-66,-100,-78,-56,-60,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-75,-100,-100
8,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-77,-88,-85,-100,-100,-100,-78,-100,-100,-100,-100,-100,-67,-79,-100,-100,-71,-74,-72,-85,-62,-69,-100,-83,-100,-100,-100,-100,-100,-100,-100,-73,-73,-100,-100
8,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-82,-100,-100,-100,-100,-77,-100,-100,-100,-100,-68,-78,-100,-100,-72,-74,-76,-86,-100,-69,-100,-88,-100,-100,-100,-100,-100,-100,-100,-74,-71,-100,-100
8,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-85,-100,-100,-100,-86,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-65,-77,-100,-100,-73,-74,-100,-82,-65,-70,-100,-81,-100,-100,-100,-100,-100,-100,-100,-78,-74,-100,-100
8,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-88,-82,-100,-100,-100,-76,-79,-100,-100,-100,-100,-100,-78,-100,-100,-100,-68,-74,-82,-64,-69,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100
8,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-87,-78,-100,-100,-100,-77,-100,-100,-100,-100,-100,-64,-82,-100,-100,-76,-70,-73,-80,-65,-69,-100,-79,-100,-100,-100,-100,-100,-100,-100,-79,-72,-100,-87
8,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-79,-77,-100,-100,-100,-100,-100,-77,-100,-100,-100,-71,-100,-84,-65,-70,-100,-76,-100,-100,-100,-90,-100,-100,-100,-100,-72,-100,-100
8,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-77,-100,-100,-100,-100,-78,-100,-100,-100,-100,-71,-81,-100,-100,-78,-63,-100,-83,-67,-67,-100,-83,-100,-100,-100,-100,-100,-100,-100,-78,-73,-100,-100
8,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-88,-78,-100,-100,-100,-100,-75,-100,-100,-100,-100,-65,-76,-100,-100,-100,-69,-100,-83,-66,-70,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100
9,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-82,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-67,-72,-100,-100,-71,-60,-73,-78,-63,-67,-100,-81,-100,-100,-100,-100,-100,-100,-100,-74,-73,-100,-88
9,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-85,-100,-100,-78,-100,-100,-100,-100,-100,-81,-80,-100,-100,-100,-100,-69,-74,-100,-100,-72,-62,-74,-77,-100,-66,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-67,-100,-100
9,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-83,-85,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-78,-100,-100,-100,-66,-100,-77,-62,-60,-100,-79,-100,-100,-100,-100,-100,-85,-100,-77,-72,-100,-84
9,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-85,-100,-100,-80,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-73,-74,-74,-60,-63,-100,-82,-100,-87,-100,-100,-100,-83,-100,-72,-72,-100,-100
9,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-75,-80,-100,-100,-72,-74,-100,-87,-55,-63,-100,-89,-100,-100,-100,-100,-100,-100,-100,-72,-75,-100,-100
9,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-74,-77,-100,-100,-100,-100,-100,-80,-100,-100,-70,-75,-100,-82,-62,-64,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-70,-100,-89
9,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-79,-100,-100,-67,-68,-100,-73,-100,-67,-100,-87,-100,-100,-100,-100,-100,-87,-100,-69,-70,-100,-84
9,-100,-100,-100,-100,-100,-100,-78,-81,-100,-100,-100,-87,-100,-100,-79,-100,-100,-100,-100,-100,-81,-86,-100,-100,-100,-100,-70,-75,-100,-100,-70,-69,-70,-72,-100,-68,-100,-82,-100,-100,-100,-100,-100,-87,-100,-71,-68,-83,-84
9,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-82,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-68,-75,-75,-64,-60,-100,-82,-100,-100,-100,-100,-100,-87,-100,-100,-73,-100,-82
9,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-84,-100,-100,-100,-100,-82,-100,-100,-100,-100,-75,-100,-100,-100,-100,-71,-74,-100,-100,-100,-70,-81,-83,-60,-59,-100,-83,-100,-100,-100,-100,-100,-100,-100,-77,-74,-100,-86
stairs down1,-100,-100,-100,-100,-100,-100,-78,-84,-100,-100,-100,-86,-100,-100,-100,-100,-76,-85,-100,-100,-100,-78,-100,-100,-100,-100,-67,-73,-100,-100,-69,-65,-100,-70,-69,-68,-100,-73,-100,-100,-100,-100,-100,-90,-100,-71,-75,-83,-86
stairs down1,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-75,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-73,-65,-73,-79,-65,-70,-100,-74,-100,-100,-100,-90,-100,-100,-100,-100,-68,-100,-82
stairs down1,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-78,-86,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-66,-70,-100,-100,-72,-65,-100,-78,-64,-71,-100,-77,-100,-100,-100,-100,-100,-100,-100,-78,-72,-100,-81
stairs down1,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-84,-100,-100,-79,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-72,-69,-100,-100,-100,-67,-81,-77,-62,-70,-100,-100,-100,-100,-100,-100,-100,-82,-100,-71,-69,-100,-87
stairs down1,-100,-100,-100,-100,-100,-100,-81,-86,-100,-100,-100,-83,-100,-100,-79,-88,-78,-90,-100,-100,-100,-100,-100,-100,-100,-100,-69,-70,-100,-100,-100,-65,-100,-79,-64,-73,-100,-72,-100,-100,-100,-100,-100,-85,-100,-72,-75,-100,-87
stairs down1,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-74,-85,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-70,-75,-100,-100,-76,-64,-76,-75,-64,-66,-100,-70,-100,-100,-100,-100,-100,-85,-100,-75,-68,-100,-85
stairs down1,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-84,-100,-100,-73,-90,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-70,-78,-100,-100,-70,-65,-77,-75,-61,-69,-100,-73,-100,-100,-100,-86,-100,-100,-100,-74,-67,-100,-84
stairs down1,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-85,-100,-100,-100,-100,-79,-88,-100,-100,-100,-81,-100,-100,-100,-100,-100,-71,-100,-100,-72,-66,-75,-76,-61,-70,-100,-74,-100,-100,-100,-86,-100,-100,-100,-100,-66,-100,-100
stairs down1,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-85,-100,-100,-75,-100,-79,-87,-100,-100,-82,-83,-100,-100,-100,-100,-70,-77,-100,-100,-72,-65,-100,-75,-100,-70,-100,-72,-100,-100,-100,-84,-100,-100,-100,-72,-65,-100,-85
stairs down1,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-76,-100,-100,-100,-65,-100,-75,-62,-70,-100,-75,-100,-100,-100,-86,-100,-87,-100,-72,-67,-100,-84
10,-100,-100,-100,-100,-100,-100,-74,-78,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-77,-100,-100,-66,-59,-72,-79,-100,-72,-100,-76,-100,-88,-100,-100,-100,-86,-100,-67,-68,-78,-78
10,-100,-100,-100,-100,-100,-100,-75,-76,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-90,-100,-85,-85,-100,-100,-100,-74,-78,-100,-100,-66,-60,-68,-75,-68,-70,-100,-79,-83,-84,-100,-82,-100,-85,-100,-66,-69,-78,-79
10,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-79,-100,-100,-62,-58,-73,-75,-70,-71,-100,-79,-100,-85,-100,-83,-100,-83,-100,-70,-61,-100,-77
10,-100,-100,-100,-100,-100,-100,-74,-78,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-74,-78,-100,-100,-62,-62,-72,-74,-69,-72,-100,-100,-100,-85,-100,-81,-100,-83,-100,-69,-61,-100,-83
10,-100,-100,-100,-100,-100,-100,-71,-76,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-84,-86,-100,-86,-100,-100,-100,-100,-100,-74,-100,-100,-65,-62,-75,-80,-70,-72,-85,-84,-100,-86,-100,-87,-100,-85,-100,-100,-64,-100,-82
10,-100,-100,-100,-100,-100,-100,-75,-76,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-88,-100,-87,-100,-100,-100,-100,-76,-78,-100,-100,-69,-60,-72,-80,-70,-69,-100,-80,-100,-89,-100,-86,-100,-86,-100,-67,-65,-100,-80
10,-100,-100,-100,-100,-100,-100,-74,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-84,-100,-100,-100,-100,-75,-78,-100,-100,-70,-62,-71,-80,-73,-73,-100,-100,-82,-89,-100,-100,-100,-84,-100,-65,-69,-100,-81
10,-100,-100,-100,-100,-100,-100,-74,-75,-100,-100,-100,-100,-100,-100,-74,-91,-100,-100,-100,-87,-100,-84,-100,-100,-100,-100,-100,-75,-100,-100,-100,-58,-100,-81,-67,-71,-100,-100,-81,-100,-100,-100,-100,-84,-100,-68,-66,-79,-81
