Vertex,00:b8:c2:d0:c2:a2,02:68:eb:44:57:42,08:be:ac:19:37:7d,08:be:ac:24:d0:44,18:e8:29:17:6a:66,18:e8:29:18:6a:66,1a:e8:29:17:6a:66,1a:e8:29:18:6a:66,3c:37:86:b3:00:cf,3c:84:6a:62:09:9b,3e:e9:0e:d5:7e:1a,72:5a:0f:f9:4c:d5,86:2a:fd:9c:02:bb,86:69:93:38:2b:03,a0:a3:f0:d6:67:ce,a8:f7:d9:59:c9:b1,a8:f7:d9:59:c9:b2,a8:f7:d9:59:c9:d1,a8:f7:d9:59:c9:d2,a8:f7:d9:59:cc:e1,a8:f7:d9:59:cc:e2,a8:f7:d9:59:cd:01,a8:f7:d9:59:cd:02,a8:f7:d9:59:cd:41,a8:f7:d9:59:cd:42,a8:f7:d9:59:cd:61,a8:f7:d9:59:cd:62,a8:f7:d9:59:ce:f1,a8:f7:d9:59:ce:f2,a8:f7:d9:59:cf:11,a8:f7:d9:59:cf:12,a8:f7:d9:5a:59:51,a8:f7:d9:5a:59:52,a8:f7:d9:5a:59:71,a8:f7:d9:5a:59:72,a8:f7:d9:5a:5b:91,a8:f7:d9:5a:5b:92,a8:f7:d9:5a:5b:b1,a8:f7:d9:5a:5b:b2,a8:f7:d9:5a:5d:01,a8:f7:d9:5a:5e:f1,a8:f7:d9:5a:5e:f2,a8:f7:d9:5a:5f:11,a8:f7:d9:5a:5f:12,a8:f7:d9:5a:60:41,a8:f7:d9:5a:60:42,a8:f7:d9:5a:61:31,a8:f7:d9:5a:61:32,a8:f7:d9:5a:61:51,a8:f7:d9:5a:61:52,a8:f7:d9:e6:c5:21,a8:f7:d9:e6:c5:22,a8:f7:d9:e6:c5:41,a8:f7:d9:e6:c5:42,a8:f7:d9:e6:d0:f1,a8:f7:d9:e6:d0:f2,c0:25:2f:3f:8f:f0,c0:25:2f:8e:f7:d4,ca:5a:cf:c7:e1:91,ca:c9:a3:ac:0a:f3,ca:c9:a3:ac:ca:8b,d8:0d:17:49:97:fe,f0:b4:d2:34:55:72
302,-100,-100,-100,-100,-45,-53,-100,-53,-100,-100,-100,-100,-72,-64,-100,-75,-75,-80,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-82,-100,-100,-65,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-64,-53,-100
302,-100,-100,-100,-100,-36,-45,-36,-100,-100,-100,-100,-100,-70,-59,-100,-70,-70,-81,-81,-100,-100,-100,-100,-100,-100,-85,-85,-100,-100,-83,-84,-50,-50,-65,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-64,-47,-100
302,-100,-100,-100,-100,-36,-45,-36,-100,-100,-100,-100,-100,-70,-59,-100,-70,-70,-81,-81,-100,-100,-100,-100,-100,-100,-85,-85,-100,-100,-83,-84,-50,-50,-65,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-64,-47,-100
302,-100,-100,-100,-100,-36,-45,-36,-100,-100,-100,-100,-100,-70,-59,-100,-70,-70,-81,-81,-100,-100,-100,-100,-100,-100,-85,-85,-100,-100,-83,-84,-50,-50,-65,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-64,-47,-100
302,-100,-100,-100,-100,-100,-51,-100,-52,-100,-100,-100,-100,-78,-57,-100,-100,-100,-81,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-79,-100,-100,-69,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-46,-100
302,-100,-100,-100,-100,-100,-45,-100,-45,-100,-100,-100,-100,-72,-61,-100,-100,-100,-80,-80,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-80,-80,-50,-50,-68,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-44,-100
302,-100,-100,-100,-100,-100,-45,-100,-45,-100,-100,-100,-100,-72,-61,-100,-100,-100,-80,-80,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-80,-80,-50,-50,-68,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-44,-100
302,-100,-100,-100,-100,-32,-45,-33,-100,-100,-100,-100,-100,-74,-59,-100,-100,-100,-80,-80,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-78,-78,-49,-49,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-64,-45,-100
302,-100,-100,-100,-100,-32,-45,-33,-100,-100,-100,-100,-100,-74,-59,-100,-100,-100,-80,-80,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-78,-78,-49,-49,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-64,-45,-100
302,-100,-100,-100,-100,-36,-45,-100,-46,-100,-100,-80,-100,-72,-55,-100,-100,-100,-78,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-82,-100,-100,-70,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-42,-100
